상호명,상권업종소분류명,시도명,시군구명,위도,경도
투썸플레이스용,카페,제주특별자치도,제주시,33.51653926,126.5041081
카페베네제주애월곽지해수욕장점,카페,제주특별자치도,제주시,33.44825583,126.3040556
쿰다카페,카페,제주특별자치도,제주시,33.46219594,126.4496656
빽다방제주법조,카페,제주특별자치도,제주시,33.49459457,126.5343205
투썸플레이스,카페,제주특별자치도,제주시,33.46204272,126.3108082
풀바셋제주아라DT점,카페,제주특별자치도,제주시,33.48764118,126.5410074
할리스제주연북로점,카페,제주특별자치도,제주시,33.48138551,126.5153259
세라젬웰카페제주,카페,제주특별자치도,제주시,33.48166711,126.4845637
아쿠아플라넷제주,카페,제주특별자치도,서귀포시,33.43297604,126.9277911
톨칸이,카페,제주특별자치도,제주시,33.49419023,126.9551807
투썸플레이스제주노형,카페,제주특별자치도,제주시,33.48427122,126.4798894
애월리다과점,카페,제주특별자치도,제주시,33.4637643,126.3221754
데코르,카페,제주특별자치도,제주시,33.49041122,126.4306998
폴바셋제주용담DT점,카페,제주특별자치도,제주시,33.51743545,126.4872794
우도소품관,카페,제주특별자치도,제주시,33.4977465,126.9679203
펜고호다,카페,제주특별자치도,제주시,33.41830642,126.3123796
테이크썸윌리,카페,제주특별자치도,제주시,33.49149502,126.5372424
바오밥나무,카페,제주특별자치도,제주시,33.45079602,126.3910026
보목동마을회,카페,제주특별자치도,서귀포시,33.23701147,126.5957635
귤곳간,카페,제주특별자치도,서귀포시,33.28953082,126.6932911
동명카페,카페,제주특별자치도,제주시,33.51048296,126.5325457
파파사이트,카페,제주특별자치도,제주시,33.33947229,126.2699799
끌림,카페,제주특별자치도,제주시,33.50431484,126.5181039
미스틱3도,카페,제주특별자치도,제주시,33.44998766,126.4873647
제주로드팡134,카페,제주특별자치도,제주시,33.47252073,126.4088812
썬시티,카페,제주특별자치도,제주시,33.55340826,126.7951231
로이셀팩토리,카페,제주특별자치도,제주시,33.52394059,126.8568091
오트팩토리,카페,제주특별자치도,제주시,33.52316768,126.5670957
라플라주,카페,제주특별자치도,제주시,33.54282513,126.6705103
우호적무관심,카페,제주특별자치도,제주시,33.33772492,126.2672125
키아오라카페,카페,제주특별자치도,서귀포시,33.43430401,126.9048958
영란다방,카페,제주특별자치도,제주시,33.50235933,126.5277142
모알보알,카페,제주특별자치도,제주시,33.55956298,126.7279531
더벤티원,카페,제주특별자치도,제주시,33.48554597,126.4850464
다함께야구펍,카페,제주특별자치도,제주시,33.4862387,126.4846873
